                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7539,                 4.7921,                 2.2945,                0.00711,                      1,                0.07667,                0.03842,                0.72047,                  4.067,                 1.5889,              5.555e-05,              5.555e-05,              5.555e-05
                      2,                 0.7166,                 3.8355,                 1.4054,                0.01209,                      1,                0.34449,                0.25567,                0.73509,                 4.0264,                 1.4501,             0.00011011,             0.00011011,             0.00011011
                      3,                0.53608,                 3.1735,                  1.228,                0.00891,                      1,                0.49276,                0.39117,                0.51745,                 3.8498,                 1.2748,             0.00015147,             0.00015147,             0.00015147
                      4,                 0.5657,                 2.7451,                 1.2433,                0.00886,                      1,                0.48938,                0.42081,                0.51429,                 3.7395,                 1.2146,             0.00017964,             0.00017964,             0.00017964
                      5,                0.55689,                 2.5833,                 1.2678,                0.00984,                      1,                 0.6141,                 0.5476,                0.49333,                 3.6526,                  1.176,              0.0001946,              0.0001946,              0.0001946
                      6,                0.51141,                 2.3537,                  1.177,                0.40673,                    0.8,                 0.7347,                0.65223,                0.47064,                 3.5532,                  1.135,             0.00019637,             0.00019637,             0.00019637
                      7,                0.46749,                 2.1789,                  1.097,                 0.0091,                      1,                0.87257,                0.77835,                0.43599,                  3.452,                 1.1042,             0.00018494,             0.00018494,             0.00018494
                      8,                 0.4571,                 2.0595,                  1.115,                0.00783,                      1,                0.91188,                0.82546,                0.43305,                 3.3921,                 1.1049,             0.00016031,             0.00016031,             0.00016031
                      9,                0.45541,                 1.9485,                 1.0985,                0.42426,                   0.96,                0.91922,                0.84583,                0.40967,                 3.3526,                 1.0598,             0.00012248,             0.00012248,             0.00012248
                     10,                0.45272,                 1.8239,                 1.0908,                0.95414,                0.53577,                0.94622,                0.88661,                0.36909,                 3.2525,                 1.0227,             7.1448e-05,             7.1448e-05,             7.1448e-05
