                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.681,                 3.5136,                 1.7012,                0.00802,                      1,                0.16508,                0.06229,                0.97163,                 3.9688,                 1.1821,              0.0003334,              0.0003334,              0.0003334
                      2,                  1.349,                 2.2432,                 1.4123,                0.00536,                      1,                 0.2937,                0.20858,                 1.2447,                 3.8841,                 1.2866,             0.00067445,             0.00067445,             0.00067445
                      3,                 1.2535,                 1.7771,                 1.2954,                0.18524,                0.83721,                0.40694,                0.29288,                0.79886,                 3.2956,                 1.0718,              0.0010063,              0.0010063,              0.0010063
                      4,                  1.227,                 1.5411,                 1.2656,                0.87664,                0.16553,                0.84446,                0.57107,                 1.0551,                 3.0042,                 1.2364,              0.0013288,              0.0013288,              0.0013288
                      5,                 1.2319,                 1.4559,                  1.303,                0.94553,                0.74419,                0.94299,                0.72506,                0.84818,                 1.6534,                 1.1041,               0.001579,               0.001579,               0.001579
                      6,                 1.1865,                  1.375,                  1.246,                0.97475,                0.88372,                0.96488,                0.73635,                0.82648,                 1.2447,                   1.06,               0.001579,               0.001579,               0.001579
                      7,                 1.1196,                 1.2755,                 1.2254,                0.99149,                0.90698,                0.98612,                0.72037,                0.87303,                 1.1036,                 1.0903,               0.001557,               0.001557,               0.001557
                      8,                  1.188,                 1.2425,                  1.269,                0.99762,                0.90698,                 0.9606,                0.73654,                0.96229,                 1.2527,                 1.2138,               0.001535,               0.001535,               0.001535
                      9,                 1.1568,                 1.1249,                 1.2419,                0.98973,                0.95349,                0.95513,                0.78235,                0.75807,                 1.1683,                 1.0515,               0.001513,               0.001513,               0.001513
                     10,                 1.0598,                 0.9933,                 1.1648,                 0.9456,                0.88372,                0.93592,                0.75012,                0.76093,                0.93087,                 1.0116,               0.001491,               0.001491,               0.001491
                     11,                 1.0539,                0.98737,                 1.1864,                      1,                0.85763,                0.98021,                0.80177,                0.74428,                0.89889,                 1.0412,               0.001469,               0.001469,               0.001469
                     12,                 1.0724,                0.99921,                 1.1946,                0.92311,                0.90698,                0.93834,                0.75858,                0.79209,                 1.0898,                   1.05,               0.001447,               0.001447,               0.001447
                     13,                 1.0676,                0.93363,                  1.188,                0.95138,                0.95349,                0.97307,                  0.813,                 0.7082,                0.85761,                 1.0104,               0.001425,               0.001425,               0.001425
                     14,                 1.0447,                0.83101,                 1.1635,                0.95233,                0.92922,                0.95947,                 0.7486,                0.73872,                0.89579,                 1.0538,              0.0014029,              0.0014029,              0.0014029
                     15,                 1.0296,                0.80885,                 1.1516,                0.97547,                0.93023,                0.97688,                0.79616,                0.75859,                0.79166,                  1.041,              0.0013809,              0.0013809,              0.0013809
                     16,                 1.0303,                0.81794,                  1.147,                0.97583,                0.93894,                0.97744,                0.83386,                 0.6473,                0.80427,                0.99672,              0.0013589,              0.0013589,              0.0013589
                     17,                0.98887,                0.77663,                  1.136,                0.95445,                 0.9746,                0.97914,                0.81674,                 0.6623,                0.71789,                 1.0112,              0.0013369,              0.0013369,              0.0013369
                     18,                  0.992,                0.73234,                 1.1216,                0.94848,                0.97674,                 0.9912,                0.79595,                0.70788,                0.62648,                 1.0089,              0.0013149,              0.0013149,              0.0013149
                     19,                 1.0048,                0.72358,                 1.1291,                      1,                0.97196,                 0.9933,                0.83205,                0.65377,                0.56665,                0.97764,              0.0012929,              0.0012929,              0.0012929
                     20,                 1.0487,                0.72614,                 1.1526,                0.97095,                0.95349,                0.98802,                0.80162,                0.68063,                0.57644,                0.98848,              0.0012709,              0.0012709,              0.0012709
                     21,                 1.0041,                0.67829,                 1.1218,                0.96515,                0.95349,                0.98672,                0.81883,                0.65584,                0.55513,                0.96267,              0.0012489,              0.0012489,              0.0012489
                     22,                 0.9637,                0.65546,                  1.124,                0.98801,                0.97674,                 0.9937,                0.84029,                0.63434,                0.59523,                0.97054,              0.0012269,              0.0012269,              0.0012269
                     23,                0.95317,                0.63022,                 1.1354,                0.99081,                0.97674,                0.99455,                0.81924,                0.69332,                 0.5094,                 0.9919,              0.0012049,              0.0012049,              0.0012049
