                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6015,                 3.6918,                 1.6536,                0.00352,                      1,                 0.2757,                0.12743,                  1.212,                 3.9926,                 1.4089,             0.00028339,             0.00028339,             0.00028339
                      2,                  1.267,                 2.2276,                 1.3118,                0.00371,                      1,                 0.5812,                0.32018,                 1.1604,                  3.636,                 1.2306,             0.00057575,             0.00057575,             0.00057575
                      3,                 1.2883,                 1.9875,                 1.2808,                      1,                0.04976,                 0.6388,                0.40411,                 1.1043,                 3.3317,                 1.3221,             0.00086019,             0.00086019,             0.00086019
                      4,                 1.2584,                 1.7189,                 1.2728,                  0.901,                0.23256,                0.61446,                0.38849,                 1.1456,                 3.1809,                 1.3712,              0.0011367,              0.0011367,              0.0011367
                      5,                  1.159,                  1.534,                 1.2543,                0.74412,                0.61766,                0.73192,                0.40526,                  1.777,                 2.8329,                 1.9624,              0.0014053,              0.0014053,              0.0014053
                      6,                 1.1434,                 1.4291,                 1.2284,                0.75394,                 0.8083,                0.85786,                0.60125,                 1.1922,                 2.1321,                   1.42,               0.001557,               0.001557,               0.001557
                      7,                 1.1844,                 1.4072,                 1.2631,                0.79651,                0.75444,                0.88582,                0.61422,                 1.1772,                 1.9588,                   1.39,               0.001557,               0.001557,               0.001557
                      8,                 1.1681,                 1.2879,                 1.2369,                0.76128,                0.70016,                0.87002,                0.63436,                 1.0701,                 2.0499,                 1.3518,               0.001535,               0.001535,               0.001535
                      9,                 1.1069,                  1.168,                 1.2346,                 0.8958,                0.69867,                0.92146,                0.64777,                 1.0933,                 1.7323,                 1.3291,               0.001513,               0.001513,               0.001513
                     10,                 1.0899,                 1.0829,                 1.1854,                0.98135,                0.95922,                0.98727,                0.67989,                 1.0765,                 1.2078,                 1.3136,               0.001491,               0.001491,               0.001491
                     11,                 1.0892,                 1.0113,                 1.2004,                0.96105,                0.95267,                0.98783,                0.70081,                 1.1421,                 1.2092,                 1.3304,               0.001469,               0.001469,               0.001469
                     12,                 1.0577,                0.99792,                 1.1753,                0.89197,                0.92843,                0.96456,                0.67156,                 1.1357,                 1.1026,                 1.3544,               0.001447,               0.001447,               0.001447
                     13,                 1.0763,                0.94594,                  1.173,                0.90284,                0.95334,                0.95081,                 0.6931,                 1.0174,                 1.0007,                 1.2773,               0.001425,               0.001425,               0.001425
                     14,                0.98189,                0.88005,                  1.142,                0.98932,                0.96512,                0.99308,                 0.7386,                0.97791,                0.89852,                 1.2285,              0.0014029,              0.0014029,              0.0014029
